rad_haplotyper -v FamB.recode.vcf -r reference.fasta -x 35 -d 10 -z 3 -m .5 -g FamB.gen -p FamB.popmap -t FamB.tsv -p1 FamB_FamB-059 -p2 FamB_FamB-194 -e
Locus	Sites	Haplotypes	Inds_Haplotyped	Total_Inds	Prop_Haplotyped	Status	Poss_Paralog	Low_Cov/Geno_Err	Miss_Geno	Comment
dDocent_Contig_10459	2	4	158	172	0.919	PASSED	14	0	0	
dDocent_Contig_104597	6	4	149	172	0.866	PASSED	12	4	7	
dDocent_Contig_104740	6	4	164	172	0.953	PASSED	7	0	1	
dDocent_Contig_104757	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_104837	1	2	169	172	0.983	PASSED	0	0	3	
dDocent_Contig_10484	7	4	160	172	0.930	PASSED	11	0	1	
dDocent_Contig_104875	5	4	163	172	0.948	PASSED	9	0	0	
dDocent_Contig_104916	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_10505	5	4	160	172	0.930	PASSED	6	0	6	
dDocent_Contig_105124	3	3	161	172	0.936	PASSED	5	0	6	
dDocent_Contig_105203	3	3	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_105286	2	3	148	172	0.860	PASSED	10	7	7	
dDocent_Contig_105322	3	2	171	172	0.994	PASSED	0	0	1	
dDocent_Contig_105336	5	4	161	172	0.936	PASSED	6	1	4	
dDocent_Contig_105366	7	3	132	172	0.767	PASSED	38	2	0	
dDocent_Contig_1055	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_10551	4	4	166	172	0.965	PASSED	4	0	2	
dDocent_Contig_105544	2	3	168	172	0.977	PASSED	2	0	2	
dDocent_Contig_10555	1	2	171	172	0.994	PASSED	0	0	1	
dDocent_Contig_105560	1	2	166	172	0.965	PASSED	0	0	6	
dDocent_Contig_105708	2	3	164	172	0.953	PASSED	2	3	3	
dDocent_Contig_10572	3	4	164	172	0.953	PASSED	8	0	0	
dDocent_Contig_10582	6	4	165	172	0.959	PASSED	7	0	0	
dDocent_Contig_105942	8	4	158	172	0.919	PASSED	9	0	5	
dDocent_Contig_105948	3	3	165	172	0.959	PASSED	7	0	0	
dDocent_Contig_105967	5	3	161	172	0.936	PASSED	6	5	0	
dDocent_Contig_105970	3	4	165	172	0.959	PASSED	5	0	2	
dDocent_Contig_10600	7	5	160	172	0.930	PASSED	3	9	0	
dDocent_Contig_106000	1	2	171	172	0.994	PASSED	0	0	1	
dDocent_Contig_106038	7	5	166	172	0.965	PASSED	5	0	1	
dDocent_Contig_106182	1	2	165	172	0.959	PASSED	0	0	7	
dDocent_Contig_10619	8	3	169	172	0.983	PASSED	0	2	1	
dDocent_Contig_10638	2	3	168	172	0.977	PASSED	4	0	0	
dDocent_Contig_106405	4	3	166	172	0.965	PASSED	5	0	1	
dDocent_Contig_106421	2	2	171	172	0.994	PASSED	0	1	0	
dDocent_Contig_1065	4	4	165	172	0.959	PASSED	7	0	0	
dDocent_Contig_106512	4	2	161	172	0.936	PASSED	1	2	8	
dDocent_Contig_106514	7	4	142	172	0.826	PASSED	19	4	7	
dDocent_Contig_106618	5	5	13	172	0.076	FILTERED	0	153	6	Missing data
dDocent_Contig_10669	1	2	164	172	0.953	PASSED	0	0	8	
dDocent_Contig_106698	6	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_106718	4	4	169	172	0.983	PASSED	1	0	2	
dDocent_Contig_106840	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_10687	6	4	167	172	0.971	PASSED	5	0	0	
dDocent_Contig_106978	2	3	168	172	0.977	PASSED	0	1	3	
dDocent_Contig_107013	3	4	163	172	0.948	PASSED	9	0	0	
dDocent_Contig_10702	2	3	166	172	0.965	PASSED	6	0	0	
dDocent_Contig_107037	1	2	170	172	0.988	PASSED	0	0	2	
dDocent_Contig_107248	4	5	155	172	0.901	PASSED	14	0	3	
dDocent_Contig_107286	8	5	55	172	0.320	FILTERED	0	117	0	Missing data
dDocent_Contig_107315	1	2	170	172	0.988	PASSED	0	0	2	
dDocent_Contig_10737	3	4	161	172	0.936	PASSED	10	0	1	
dDocent_Contig_107441	3	3	165	172	0.959	PASSED	4	0	3	
dDocent_Contig_10747	15	5	146	172	0.849	PASSED	10	9	7	
dDocent_Contig_107568	6	4	171	172	0.994	PASSED	0	1	0	
dDocent_Contig_107634	5	2	171	172	0.994	PASSED	0	0	1	
dDocent_Contig_107738	2	2	169	172	0.983	PASSED	0	3	0	
dDocent_Contig_107746	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_107765	2	3	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_107773	8	4	159	172	0.924	PASSED	6	3	4	
dDocent_Contig_107798	8	4	166	172	0.965	PASSED	5	0	1	
