Ind	Poss_Paralogs	Low_Coverage/Errors	Miss_Genotype	Total_Failed	Total_Loci	Prop_Success
FamB_FamB-176	79	100	15	194	3240	0.940123456790123
FamB_FamB-177	112	111	14	237	3240	0.926851851851852
FamB_FamB-178	88	100	16	204	3240	0.937037037037037
FamB_FamB-179	148	104	36	288	3240	0.911111111111111
FamB_FamB-180	65	63	1794	1922	3240	0.40679012345679
FamB_FamB-181	70	87	18	175	3240	0.945987654320988
FamB_FamB-182	89	101	20	210	3240	0.935185185185185
FamB_FamB-183	78	110	28	216	3240	0.933333333333333
FamB_FamB-184	78	110	53	241	3240	0.925617283950617
FamB_FamB-186	152	122	56	330	3240	0.898148148148148
FamB_FamB-187	451	90	15	556	3240	0.828395061728395
FamB_FamB-188	95	89	40	224	3240	0.930864197530864
FamB_FamB-189	68	102	13	183	3240	0.943518518518519
FamB_FamB-190	61	92	12	165	3240	0.949074074074074
FamB_FamB-191	115	109	27	251	3240	0.922530864197531
FamB_FamB-192	94	117	52	263	3240	0.918827160493827
FamB_FamB-194	120	107	59	286	3240	0.911728395061728
FamB_FamB-195	91	107	9	207	3240	0.936111111111111
FamB_FamB-196	56	103	34	193	3240	0.940432098765432
FamB_FamB-197	51	105	89	245	3240	0.924382716049383
FamB_FamB-F	118	98	29	245	3240	0.924382716049383
FamB_FamB-M1	187	114	129	430	3240	0.867283950617284
FamB_FamB-M2	449	107	384	940	3240	0.709876543209877
