LOCUS	MATCHLOC
dDocent_Contig_31031	dDocent_Contig_17774
dDocent_Contig_31031	dDocent_Contig_32599
dDocent_Contig_378632	dDocent_Contig_17818
dDocent_Contig_378632	dDocent_Contig_38486
dDocent_Contig_90638	dDocent_Contig_178549
dDocent_Contig_49203	dDocent_Contig_179212
dDocent_Contig_49203	dDocent_Contig_19289
dDocent_Contig_49203	dDocent_Contig_21587
dDocent_Contig_49203	dDocent_Contig_29713
dDocent_Contig_49203	dDocent_Contig_30077
dDocent_Contig_49203	dDocent_Contig_301685
dDocent_Contig_49203	dDocent_Contig_30840
dDocent_Contig_49203	dDocent_Contig_32995
dDocent_Contig_49203	dDocent_Contig_57708
dDocent_Contig_182942	dDocent_Contig_26491
dDocent_Contig_18544	dDocent_Contig_99931
dDocent_Contig_18567	dDocent_Contig_27644
dDocent_Contig_18567	dDocent_Contig_40899
dDocent_Contig_5207	dDocent_Contig_187281
dDocent_Contig_7987	dDocent_Contig_1897
dDocent_Contig_1974	dDocent_Contig_6814
dDocent_Contig_30792	dDocent_Contig_198003
dDocent_Contig_8520	dDocent_Contig_19815
dDocent_Contig_200617	dDocent_Contig_46775
dDocent_Contig_21218	dDocent_Contig_20418
dDocent_Contig_30698	dDocent_Contig_2072
dDocent_Contig_30698	dDocent_Contig_5715
dDocent_Contig_30698	dDocent_Contig_86254
dDocent_Contig_45960	dDocent_Contig_221942
dDocent_Contig_317529	dDocent_Contig_226704
dDocent_Contig_317529	dDocent_Contig_230944
dDocent_Contig_317529	dDocent_Contig_333716
dDocent_Contig_317529	dDocent_Contig_56340
dDocent_Contig_230427	dDocent_Contig_2844
dDocent_Contig_230427	dDocent_Contig_291619
dDocent_Contig_230427	dDocent_Contig_44930
dDocent_Contig_230427	dDocent_Contig_69138
dDocent_Contig_23669	dDocent_Contig_57288
dDocent_Contig_83810	dDocent_Contig_23775
dDocent_Contig_24007	dDocent_Contig_2987
dDocent_Contig_24007	dDocent_Contig_3923
dDocent_Contig_378878	dDocent_Contig_242
dDocent_Contig_378878	dDocent_Contig_59202
dDocent_Contig_244551	dDocent_Contig_8127
dDocent_Contig_392195	dDocent_Contig_25020
dDocent_Contig_620	dDocent_Contig_25536
dDocent_Contig_258818	dDocent_Contig_8570
dDocent_Contig_45297	dDocent_Contig_26268
dDocent_Contig_337526	dDocent_Contig_26394
dDocent_Contig_7844	dDocent_Contig_26684
dDocent_Contig_7844	dDocent_Contig_2691
dDocent_Contig_7844	dDocent_Contig_57682
dDocent_Contig_63932	dDocent_Contig_27437
dDocent_Contig_369547	dDocent_Contig_2785
dDocent_Contig_279405	dDocent_Contig_325604
dDocent_Contig_29128	dDocent_Contig_9980
dDocent_Contig_39939	dDocent_Contig_29593
dDocent_Contig_39939	dDocent_Contig_31605
dDocent_Contig_298306	dDocent_Contig_52004
dDocent_Contig_298306	dDocent_Contig_53
dDocent_Contig_301372	dDocent_Contig_99077
dDocent_Contig_8987	dDocent_Contig_32102
dDocent_Contig_8987	dDocent_Contig_3449
dDocent_Contig_75511	dDocent_Contig_32901
dDocent_Contig_52394	dDocent_Contig_35575
dDocent_Contig_356077	dDocent_Contig_372229
dDocent_Contig_380845	dDocent_Contig_6716
dDocent_Contig_68779	dDocent_Contig_4102
dDocent_Contig_68779	dDocent_Contig_77513
dDocent_Contig_68779	dDocent_Contig_79280
dDocent_Contig_42394	dDocent_Contig_7246
dDocent_Contig_60276	dDocent_Contig_5314
dDocent_Contig_90238	dDocent_Contig_53620
dDocent_Contig_71327	dDocent_Contig_7091
