LOCUS	MATCHLOC
dDocent_Contig_28309	dDocent_Contig_53181
dDocent_Contig_28309	dDocent_Contig_55599
dDocent_Contig_28309	dDocent_Contig_5706
dDocent_Contig_28309	dDocent_Contig_9496
dDocent_Contig_26812	dDocent_Contig_112066
dDocent_Contig_11296	dDocent_Contig_19143
dDocent_Contig_113099	dDocent_Contig_184316
dDocent_Contig_113099	dDocent_Contig_26852
dDocent_Contig_113099	dDocent_Contig_9844
dDocent_Contig_116082	dDocent_Contig_113458
dDocent_Contig_34674	dDocent_Contig_114253
dDocent_Contig_34674	dDocent_Contig_13137
dDocent_Contig_34674	dDocent_Contig_25003
dDocent_Contig_34674	dDocent_Contig_252651
dDocent_Contig_34674	dDocent_Contig_5720
dDocent_Contig_11448	dDocent_Contig_329046
dDocent_Contig_72480	dDocent_Contig_11476
dDocent_Contig_72480	dDocent_Contig_118656
dDocent_Contig_72480	dDocent_Contig_15622
dDocent_Contig_72480	dDocent_Contig_187289
dDocent_Contig_72480	dDocent_Contig_25822
dDocent_Contig_72480	dDocent_Contig_41038
dDocent_Contig_72480	dDocent_Contig_6959
dDocent_Contig_304602	dDocent_Contig_11522
dDocent_Contig_26251	dDocent_Contig_115658
dDocent_Contig_26251	dDocent_Contig_22448
dDocent_Contig_26251	dDocent_Contig_278198
dDocent_Contig_26251	dDocent_Contig_8438
dDocent_Contig_26251	dDocent_Contig_8986
dDocent_Contig_6714	dDocent_Contig_11765
dDocent_Contig_6714	dDocent_Contig_13457
dDocent_Contig_6714	dDocent_Contig_13628
dDocent_Contig_6714	dDocent_Contig_13812
dDocent_Contig_6714	dDocent_Contig_144226
dDocent_Contig_6714	dDocent_Contig_180953
dDocent_Contig_6714	dDocent_Contig_28050
dDocent_Contig_6714	dDocent_Contig_28742
dDocent_Contig_6714	dDocent_Contig_43948
dDocent_Contig_6714	dDocent_Contig_49245
dDocent_Contig_6714	dDocent_Contig_62487
dDocent_Contig_6714	dDocent_Contig_7169
dDocent_Contig_19428	dDocent_Contig_11845
dDocent_Contig_118495	dDocent_Contig_238701
dDocent_Contig_249360	dDocent_Contig_11878
dDocent_Contig_42990	dDocent_Contig_11900
dDocent_Contig_42990	dDocent_Contig_17971
dDocent_Contig_42990	dDocent_Contig_21399
dDocent_Contig_42990	dDocent_Contig_234716
dDocent_Contig_42990	dDocent_Contig_273666
dDocent_Contig_42990	dDocent_Contig_49413
dDocent_Contig_42990	dDocent_Contig_58266
dDocent_Contig_42990	dDocent_Contig_59561
dDocent_Contig_42990	dDocent_Contig_8822
dDocent_Contig_42990	dDocent_Contig_89781
dDocent_Contig_136722	dDocent_Contig_11933
dDocent_Contig_24236	dDocent_Contig_12068
dDocent_Contig_24236	dDocent_Contig_210753
dDocent_Contig_24236	dDocent_Contig_291924
dDocent_Contig_24236	dDocent_Contig_35456
dDocent_Contig_24236	dDocent_Contig_43009
dDocent_Contig_24236	dDocent_Contig_483
dDocent_Contig_24236	dDocent_Contig_90958
dDocent_Contig_24236	dDocent_Contig_9971
dDocent_Contig_12143	dDocent_Contig_382805
dDocent_Contig_294562	dDocent_Contig_121713
dDocent_Contig_294562	dDocent_Contig_132994
dDocent_Contig_294562	dDocent_Contig_19709
dDocent_Contig_294562	dDocent_Contig_23976
dDocent_Contig_294562	dDocent_Contig_31240
dDocent_Contig_294562	dDocent_Contig_362081
dDocent_Contig_294562	dDocent_Contig_363792
dDocent_Contig_294562	dDocent_Contig_37343
dDocent_Contig_294562	dDocent_Contig_52478
dDocent_Contig_294562	dDocent_Contig_63030
dDocent_Contig_9761	dDocent_Contig_124000
dDocent_Contig_186256	dDocent_Contig_12459
dDocent_Contig_186256	dDocent_Contig_30828
dDocent_Contig_186256	dDocent_Contig_34901
dDocent_Contig_186256	dDocent_Contig_4017
dDocent_Contig_186256	dDocent_Contig_40222
dDocent_Contig_193602	dDocent_Contig_12561
dDocent_Contig_193602	dDocent_Contig_12925
dDocent_Contig_193602	dDocent_Contig_29194
dDocent_Contig_128509	dDocent_Contig_96260
dDocent_Contig_2115	dDocent_Contig_128885
dDocent_Contig_2115	dDocent_Contig_23809
dDocent_Contig_2115	dDocent_Contig_50172
dDocent_Contig_2115	dDocent_Contig_80702
dDocent_Contig_2115	dDocent_Contig_8341
dDocent_Contig_20895	dDocent_Contig_12895
dDocent_Contig_25858	dDocent_Contig_12908
dDocent_Contig_12971	dDocent_Contig_214776
dDocent_Contig_1301	dDocent_Contig_24473
dDocent_Contig_131586	dDocent_Contig_8082
dDocent_Contig_9384	dDocent_Contig_13164
dDocent_Contig_3962	dDocent_Contig_1328
dDocent_Contig_3962	dDocent_Contig_63273
dDocent_Contig_1922	dDocent_Contig_133371
dDocent_Contig_88256	dDocent_Contig_13350
dDocent_Contig_43577	dDocent_Contig_134002
dDocent_Contig_13446	dDocent_Contig_138814
dDocent_Contig_13446	dDocent_Contig_261231
dDocent_Contig_13446	dDocent_Contig_44363
dDocent_Contig_14368	dDocent_Contig_134526
dDocent_Contig_14368	dDocent_Contig_16259
dDocent_Contig_14368	dDocent_Contig_178055
dDocent_Contig_14368	dDocent_Contig_203924
dDocent_Contig_14368	dDocent_Contig_214162
