LOCUS	MATCHLOC
dDocent_Contig_74614	dDocent_Contig_13320
dDocent_Contig_74614	dDocent_Contig_153853
dDocent_Contig_65242	dDocent_Contig_13506
dDocent_Contig_65242	dDocent_Contig_16379
dDocent_Contig_65242	dDocent_Contig_252975
dDocent_Contig_65242	dDocent_Contig_317880
dDocent_Contig_65242	dDocent_Contig_33695
dDocent_Contig_65242	dDocent_Contig_5166
dDocent_Contig_16668	dDocent_Contig_13707
dDocent_Contig_16668	dDocent_Contig_16265
dDocent_Contig_1397	dDocent_Contig_15622
dDocent_Contig_1397	dDocent_Contig_283311
dDocent_Contig_1397	dDocent_Contig_396010
dDocent_Contig_75671	dDocent_Contig_14056
dDocent_Contig_16207	dDocent_Contig_141966
dDocent_Contig_16207	dDocent_Contig_23434
dDocent_Contig_16207	dDocent_Contig_3903
dDocent_Contig_16207	dDocent_Contig_530
dDocent_Contig_16207	dDocent_Contig_53753
dDocent_Contig_16207	dDocent_Contig_8139
dDocent_Contig_16207	dDocent_Contig_97641
dDocent_Contig_92057	dDocent_Contig_14368
dDocent_Contig_92057	dDocent_Contig_236369
dDocent_Contig_92057	dDocent_Contig_242112
dDocent_Contig_92057	dDocent_Contig_25932
dDocent_Contig_92057	dDocent_Contig_330040
dDocent_Contig_92057	dDocent_Contig_54340
dDocent_Contig_92057	dDocent_Contig_67109
dDocent_Contig_214291	dDocent_Contig_14429
dDocent_Contig_214291	dDocent_Contig_19718
dDocent_Contig_214291	dDocent_Contig_249952
dDocent_Contig_214291	dDocent_Contig_28251
dDocent_Contig_214291	dDocent_Contig_335365
dDocent_Contig_214291	dDocent_Contig_7919
dDocent_Contig_214291	dDocent_Contig_80211
dDocent_Contig_23466	dDocent_Contig_146041
dDocent_Contig_57353	dDocent_Contig_14676
dDocent_Contig_147429	dDocent_Contig_331846
dDocent_Contig_147429	dDocent_Contig_88211
dDocent_Contig_14922	dDocent_Contig_28835
dDocent_Contig_14922	dDocent_Contig_395312
dDocent_Contig_14927	dDocent_Contig_19549
dDocent_Contig_374605	dDocent_Contig_1510
dDocent_Contig_15531	dDocent_Contig_99681
dDocent_Contig_9989	dDocent_Contig_15573
dDocent_Contig_27406	dDocent_Contig_15689
dDocent_Contig_27406	dDocent_Contig_27828
dDocent_Contig_27406	dDocent_Contig_42515
dDocent_Contig_15882	dDocent_Contig_163160
dDocent_Contig_15882	dDocent_Contig_200778
dDocent_Contig_15882	dDocent_Contig_27322
dDocent_Contig_15882	dDocent_Contig_385543
dDocent_Contig_15882	dDocent_Contig_483
