LOCUS	MATCHLOC
dDocent_Contig_1177	dDocent_Contig_98910
dDocent_Contig_117947	dDocent_Contig_301685
dDocent_Contig_117947	dDocent_Contig_55010
dDocent_Contig_29317	dDocent_Contig_11849
dDocent_Contig_29317	dDocent_Contig_250683
dDocent_Contig_25822	dDocent_Contig_118656
dDocent_Contig_25822	dDocent_Contig_3390
dDocent_Contig_15673	dDocent_Contig_11933
dDocent_Contig_15673	dDocent_Contig_126644
dDocent_Contig_15673	dDocent_Contig_133552
dDocent_Contig_15673	dDocent_Contig_173
dDocent_Contig_15673	dDocent_Contig_20487
dDocent_Contig_15673	dDocent_Contig_2072
dDocent_Contig_15673	dDocent_Contig_20760
dDocent_Contig_15673	dDocent_Contig_248861
dDocent_Contig_15673	dDocent_Contig_3486
dDocent_Contig_15673	dDocent_Contig_47042
dDocent_Contig_15673	dDocent_Contig_61895
dDocent_Contig_15673	dDocent_Contig_7650
dDocent_Contig_15673	dDocent_Contig_7879
dDocent_Contig_15673	dDocent_Contig_9019
dDocent_Contig_15673	dDocent_Contig_99681
dDocent_Contig_18089	dDocent_Contig_119372
dDocent_Contig_18089	dDocent_Contig_72913
dDocent_Contig_44252	dDocent_Contig_120683
dDocent_Contig_44252	dDocent_Contig_3454
dDocent_Contig_44252	dDocent_Contig_3559
dDocent_Contig_382805	dDocent_Contig_12143
dDocent_Contig_382805	dDocent_Contig_48424
dDocent_Contig_32931	dDocent_Contig_122064
dDocent_Contig_32931	dDocent_Contig_275327
dDocent_Contig_32931	dDocent_Contig_319839
dDocent_Contig_32931	dDocent_Contig_642
dDocent_Contig_34141	dDocent_Contig_122156
dDocent_Contig_34141	dDocent_Contig_122349
dDocent_Contig_34141	dDocent_Contig_20000
dDocent_Contig_34141	dDocent_Contig_214776
dDocent_Contig_34141	dDocent_Contig_40220
dDocent_Contig_27647	dDocent_Contig_12218
dDocent_Contig_27647	dDocent_Contig_13252
dDocent_Contig_27647	dDocent_Contig_25858
dDocent_Contig_27647	dDocent_Contig_80902
dDocent_Contig_27647	dDocent_Contig_9469
dDocent_Contig_12852	dDocent_Contig_12309
dDocent_Contig_42371	dDocent_Contig_123246
dDocent_Contig_123370	dDocent_Contig_15664
dDocent_Contig_123370	dDocent_Contig_1622
dDocent_Contig_123370	dDocent_Contig_1637
dDocent_Contig_123370	dDocent_Contig_18050
dDocent_Contig_123370	dDocent_Contig_1884
dDocent_Contig_123370	dDocent_Contig_62600
dDocent_Contig_123370	dDocent_Contig_8173
dDocent_Contig_123370	dDocent_Contig_9761
dDocent_Contig_12399	dDocent_Contig_362956
dDocent_Contig_42990	dDocent_Contig_124449
dDocent_Contig_5372	dDocent_Contig_12495
dDocent_Contig_318878	dDocent_Contig_127712
dDocent_Contig_318878	dDocent_Contig_13705
dDocent_Contig_318878	dDocent_Contig_17774
dDocent_Contig_318878	dDocent_Contig_29808
dDocent_Contig_318878	dDocent_Contig_62300
dDocent_Contig_318878	dDocent_Contig_89625
dDocent_Contig_129866	dDocent_Contig_128509
dDocent_Contig_129866	dDocent_Contig_14167
dDocent_Contig_129866	dDocent_Contig_23646
dDocent_Contig_129866	dDocent_Contig_35624
dDocent_Contig_129866	dDocent_Contig_82487
dDocent_Contig_129866	dDocent_Contig_9670
dDocent_Contig_47561	dDocent_Contig_128564
dDocent_Contig_47561	dDocent_Contig_239372
dDocent_Contig_47561	dDocent_Contig_7106
dDocent_Contig_47561	dDocent_Contig_94634
dDocent_Contig_44483	dDocent_Contig_12988
dDocent_Contig_44483	dDocent_Contig_9642
dDocent_Contig_48250	dDocent_Contig_1301
dDocent_Contig_43948	dDocent_Contig_130476
dDocent_Contig_43948	dDocent_Contig_13628
dDocent_Contig_131536	dDocent_Contig_144102
dDocent_Contig_131536	dDocent_Contig_247362
dDocent_Contig_131536	dDocent_Contig_30074
