"LOCUS" "LG_F" "POS_F" "LG_M" "POS_M"
"96" "dDocent_Contig_21601" 19 3.39782982212475 NA NA
"97" "dDocent_Contig_64438" 19 3.39782992212475 NA NA
"98" "dDocent_Contig_13164" 19 3.39783002212475 23 11.8000746692337
"99" "dDocent_Contig_3867" 19 3.39783012212475 23 38.7218696519152
"100" "dDocent_Contig_2315" 19 3.39783022212476 23 1.00000002822922e-07
"101" "dDocent_Contig_189213" 19 3.39783022212476 23 1.35136155575345
"102" "dDocent_Contig_6638" 19 3.39783022212476 NA NA
"103" "dDocent_Contig_4692" 19 3.39783032212476 23 18.9682699455976
"104" "dDocent_Contig_327" 19 3.39783042212476 23 25.8787119101973
"105" "dDocent_Contig_27373" 19 3.39783052212477 23 39.3818402732292
"106" "dDocent_Contig_103448" 19 3.39783062212477 23 1.35136165575345
"107" "dDocent_Contig_1422" 19 3.39783072212477 23 45.6970123579462
"108" "dDocent_Contig_13343" 19 3.39783082212477 23 2.7027963785897
"109" "dDocent_Contig_55140" 20 3.40668112796517 5 51.5162166200237
"110" "dDocent_Contig_18848" 1 3.44996162636781 2 46.9493621940782
"111" "dDocent_Contig_16209" 5 3.97141541597364 17 91.088096772338
"112" "dDocent_Contig_112107" 5 3.97141541597364 17 91.088096772338
"113" "dDocent_Contig_74614" 12 4.01149569891593 3 8.6098336076493
"114" "dDocent_Contig_13320" 12 4.01149569891593 NA NA
"115" "dDocent_Contig_153853" 12 4.01149569891593 NA NA
"116" "dDocent_Contig_23466" 12 4.01149579891593 NA NA
"117" "dDocent_Contig_146041" 12 4.01149579891593 3 97.0931525274951
"118" "dDocent_Contig_304602" 12 4.01149589891593 3 7.93996720371728
"119" "dDocent_Contig_39241" 12 4.01149599891594 3 8.6098335076493
"120" "dDocent_Contig_349658" 12 4.01149609891594 3 10.6903518743222
"121" "dDocent_Contig_60230" 12 4.01149619891594 3 9.95210025308741
"122" "dDocent_Contig_113893" 8 4.04974189026667 18 1.25133378586751
"123" "dDocent_Contig_170463" 8 4.04974199026668 18 10.0807996466526
