lg7	21015000	20310000
lg8	15655000	15655000
lg8	10365000	10980000
lg18	11555000	9005000
lg1	10680000	11790000
lg19	15395000	14760000
lg24	0	0
lg12	6360000	7290000
lg10	30955000	29925000
lg19	9425000	8975000
lg5	13310000	13640000
lg4	20980000	19590000
lg7	21015000	20310000
lg1	19895000	19895000
lg1	6940000	7280000
lg23	6045000	6465000
lg7	955000	0
lg20	15165000	15010000
lg7	17665000	18280000
lg16	15530000	15640000
lg6	11935000	10955000
lg3	21740000	20400000
lg8	14710000	15325000
lg2	16315000	15460000
lg5	13310000	13640000
lg17	23270000	23470000
lg5	13310000	13640000
lg12	15470000	15775000
lg3	12300000	12685000
lg16	29420000	34115000
lg18	14445000	12680000
lg6	29215000	27980000
lg4	18275000	15550000
lg16	15530000	15530000
lg19	5740000	6935000
lg19	8975000	10770000
lg4	18815000	17885000
lg14	10680000	10070000
lg19	8975000	10770000
lg18	5360000	2835000
lg12	33534999	33455000
lg8	11365000	14710000
lg19	8975000	10770000
lg14	8410000	9265000
lg19	9425000	8975000
lg17	22500000	21420000
lg1	13805000	15485000
lg16	3980000	3980000
lg6	9775000	10025000
lg6	25155000	26435000
lg1	27290000	27215000
lg1	12095000	12220000
lg22	29565000	29565000
lg20	15165000	15010000
lg10	12595000	15030000
lg3	17300000	17095000
lg4	33110000	31960000
lg13	8279999	8279999
lg19	9425000	8975000
lg19	9425000	8975000
lg24	0	0
lg4	6195000	5265000
lg12	21525000	22260000
lg7	7220000	7795000
lg16	3980000	3980000
lg2	13415000	14255000
lg1	6940000	6940000
lg8	36285000	33064999
lg17	22500000	21420000
lg12	19025000	18985000
lg1	19895000	19895000
lg1	6940000	6940000
lg16	16900000	16900000
lg19	4824999	5390000
lg18	26895000	28285000
lg13	8279999	8279999
lg6	20420000	20150000
lg17	9870000	10885000
lg12	26635000	25450000
lg4	12610000	12300000
lg24	18575000	19475000
lg12	15470000	13075000
lg8	32115000	32580000
lg16	18490000	18425000
lg24	0	0
lg10	16270000	16405000
lg22	27045000	26540000
lg24	0	0
lg3	21740000	20400000
lg3	21740000	20400000
lg22	29565000	29565000
lg17	22500000	21420000
lg3	17095000	15550000
lg16	16900000	16900000
lg17	22500000	21420000
lg12	33534999	33455000
lg23	15910000	14440000
lg16	5590000	5745000
lg19	8975000	10770000
lg20	19645000	18720000
lg6	14150000	12130000
lg10	1810000	1070000
lg2	9480000	10100000
lg9	5165000	5165000
lg19	5740000	6935000
lg4	13385000	12610000
lg8	15655000	16870000
lg4	3250000	2450000
lg3	6450000	4455000
lg15	4170000	4635000
lg17	28220000	30095000
lg3	24300000	28285000
lg14	18310000	17835000
lg19	9425000	8975000
lg21	25235000	26015000
lg24	0	0
lg15	25900000	19695000
lg7	21015000	21390000
lg6	17425000	16690000
lg9	20205000	19060000
lg1	15485000	15485000
lg16	3980000	3980000
lg19	9425000	8975000
lg1	6940000	6940000
lg17	26065000	27030000
lg10	9955000	10125000
lg7	25165000	25165000
lg10	30955000	29925000
lg16	6635000	5665000
lg19	10770000	8975000
lg16	6635000	5665000
lg19	8975000	10770000
lg18	26895000	28285000
lg1	15485000	15485000
lg9	16575000	17655000
lg1	0	930000
lg22	29565000	29565000
lg10	10295000	11635000
lg2	12590000	12475000
lg16	6635000	6635000
lg16	3980000	3980000
lg19	23815000	23925000
lg2	5115000	2940000
lg6	12560000	12130000
lg13	20415000	20290000
lg7	5250000	5000000
lg8	19340000	20580000
lg23	15800000	15800000
lg4	18275000	16725000
lg19	23815000	23925000
lg6	19445000	18640000
lg18	11710000	14470000
lg16	18490000	18425000
lg13	14445000	12940000
lg22	28050000	28205000
lg5	5440000	7225000
lg16	6635000	5665000
lg20	10820000	10825000
lg16	3980000	3980000
lg9	8425000	9210000
lg19	23815000	23925000
lg18	27290000	34690000
lg15	23825000	11105000
lg16	3980000	3980000
lg19	9425000	8975000
lg4	13385000	12610000
lg10	14535000	11635000
lg7	7795000	7760000
lg7	26495000	26495000
lg15	18615000	18615000
lg15	4170000	4635000
lg9	9210000	8359999
lg1	7900000	7280000
lg3	17095000	15550000
lg1	9365000	9200000
lg20	18565000	18565000
lg11	24945000	21390000
lg3	11720000	12765000
lg17	4220000	6690000
lg18	6530000	5360000
lg5	13310000	13640000
lg22	19000000	19080000
lg7	3295000	3295000
lg9	13470000	14485000
lg9	14870000	15665000
lg17	22500000	21420000
lg18	35695000	34690000
lg19	17120000	17505000
lg11	22110000	22305000
lg7	21015000	20310000
lg10	3230000	5640000
lg5	31800000	29335000
lg24	0	0
lg19	8975000	10770000
lg14	11395000	12300000
lg10	9955000	10125000
lg3	21740000	20400000
lg3	21740000	20400000
lg23	13165000	12260000
lg2	15460000	15185000
lg16	14295000	13935000
lg19	12675000	12275000
lg23	22290000	22290000
lg9	4915000	5165000
lg11	14430000	12625000
lg11	20875000	16684999
lg19	9425000	8975000
lg16	3980000	4815000
lg6	25155000	26435000
lg12	20415000	21525000
lg10	14535000	11635000
lg21	17945000	17945000
lg7	25165000	25165000
lg16	3980000	3980000
lg12	13360000	13075000
lg12	4875000	5205000
lg6	23585000	23805000
lg3	21740000	20400000
lg20	18565000	18565000
lg12	33534999	33455000
lg19	9425000	8975000
lg24	13875000	13875000
lg23	22290000	22290000
lg8	15655000	15655000
lg19	8975000	10770000
lg4	12610000	12300000
lg10	16270000	16405000
lg24	9650000	10245000
lg3	17095000	15550000
lg22	24620000	23815000
lg24	8085000	9400000
lg9	14485000	16575000
lg23	5020000	5020000
lg20	32990000	32835000
lg19	23815000	23925000
